Date,Close,High,Low,Open,Volume
2024-05-29,1.0299999713897705,1.0499999523162842,0.9829999804496765,1.0199999809265137,2953500
2024-05-30,1.1399999856948853,1.1799999475479126,1.0499999523162842,1.0499999523162842,8602200
2024-05-31,1.100000023841858,1.159999966621399,1.0800000429153442,1.149999976158142,12809800
2024-06-03,1.1699999570846558,1.2200000286102295,1.1200000047683716,1.149999976158142,4662200
2024-06-04,1.1100000143051147,1.1799999475479126,1.100000023841858,1.149999976158142,2571600
2024-06-05,1.1100000143051147,1.1399999856948853,1.090000033378601,1.1200000047683716,2742200
2024-06-06,1.100000023841858,1.1200000047683716,1.0499999523162842,1.1100000143051147,2796600
2024-06-07,1.100000023841858,1.1399999856948853,1.0800000429153442,1.090000033378601,3774400
2024-06-10,0.9860000014305115,1.1200000047683716,0.8999999761581421,1.0800000429153442,14669800
2024-06-11,1.0299999713897705,1.0299999713897705,0.9700000286102295,0.9900000095367432,3487600
2024-06-12,1.0499999523162842,1.100000023841858,1.0299999713897705,1.062000036239624,4044400
2024-06-13,1.0299999713897705,1.059999942779541,1.0,1.059999942779541,1604700
2024-06-14,1.090000033378601,1.1299999952316284,1.0399999618530273,1.0399999618530273,4981700
2024-06-17,1.149999976158142,1.1699999570846558,1.0750000476837158,1.100000023841858,5327300
2024-06-18,1.100000023841858,1.159999966621399,1.090000033378601,1.1399999856948853,2453700
2024-06-20,1.0299999713897705,1.100000023841858,1.0099999904632568,1.0800000429153442,4411700
2024-06-21,1.25,1.3899999856948853,1.1299999952316284,1.1799999475479126,24606700
2024-06-24,1.2699999809265137,1.340000033378601,1.25,1.3200000524520874,6008300
2024-06-25,1.309999942779541,1.3600000143051147,1.2599999904632568,1.2699999809265137,4730600
2024-06-26,1.2799999713897705,1.3300000429153442,1.2799999713897705,1.309999942779541,2511400
2024-06-27,1.2999999523162842,1.3200000524520874,1.2699999809265137,1.2899999618530273,2784700
2024-06-28,1.2300000190734863,1.340000033378601,1.2200000286102295,1.309999942779541,4703700
2024-07-01,1.2000000476837158,1.2799999713897705,1.1799999475479126,1.2200000286102295,4393000
2024-07-02,1.2200000286102295,1.2450000047683716,1.184999942779541,1.190000057220459,2629400
2024-07-03,1.25,1.2699999809265137,1.2200000286102295,1.2200000286102295,1294500
2024-07-05,1.2699999809265137,1.2799999713897705,1.2400000095367432,1.25,2564800
2024-07-08,1.3300000429153442,1.350000023841858,1.2699999809265137,1.2699999809265137,3152000
2024-07-09,1.340000033378601,1.3600000143051147,1.2999999523162842,1.3300000429153442,2415500
2024-07-10,1.340000033378601,1.3600000143051147,1.309999942779541,1.3300000429153442,2412500
2024-07-11,1.4600000381469727,1.4850000143051147,1.340000033378601,1.340000033378601,6827600
2024-07-12,1.5099999904632568,1.5499999523162842,1.4500000476837158,1.4500000476837158,5034700
2024-07-15,1.5800000429153442,1.600000023841858,1.5099999904632568,1.5199999809265137,5838000
2024-07-16,1.7300000190734863,1.7400000095367432,1.5750000476837158,1.5750000476837158,6785000
2024-07-17,1.7200000286102295,1.7599999904632568,1.6699999570846558,1.7100000381469727,5038500
2024-07-18,1.690000057220459,1.7799999713897705,1.649999976158142,1.7100000381469727,4069100
2024-07-19,1.6299999952316284,1.7100000381469727,1.6100000143051147,1.649999976158142,3118700
2024-07-22,1.6799999475479126,1.6799999475479126,1.5800000429153442,1.649999976158142,3576100
2024-07-23,1.659999966621399,1.7100000381469727,1.649999976158142,1.690000057220459,2647700
2024-07-24,1.600000023841858,1.690000057220459,1.600000023841858,1.659999966621399,3065000
2024-07-25,1.6399999856948853,1.7000000476837158,1.5800000429153442,1.600000023841858,3359200
2024-07-26,1.7300000190734863,1.7450000047683716,1.6699999570846558,1.6799999475479126,3196200
